Country Name,Country Code,Time,Time Code,GDP (current US$) [NY.GDP.MKTP.CD],"Population, total [SP.POP.TOTL]",Population growth (annual %) [SP.POP.GROW],Land area (sq. km) [AG.LND.TOTL.K2],"Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]"
Austria,AUT,2020,YR2020,428965397959.456,8917205,0.419000872876687,82520,1.12784391160976,5.36
Belarus,BLR,2020,YR2020,60258239055.5829,9398861,-0.201820684328915,202980,10.1007626445438,..
Belgium,BEL,2020,YR2020,515332499627.861,11555997,0.581620792438621,30280,1.06771640264454,5.55
Bulgaria,BGR,2020,YR2020,69105101089.5531,6927288,-0.697303108247042,108560,3.31699390445179,5.12
Denmark,DNK,2020,YR2020,355184024841.254,5831404,0.291641177476633,40000,2.31105364800482,5.64
Estonia,EST,2020,YR2020,31029968591.2779,1331057,0.312947615313683,43470,-0.44387937209514,6.8
France,FRA,2020,YR2020,2603004395901.95,67391582,0.211906588145578,547557,2.24701684569754,8.01
Germany,DEU,2020,YR2020,3806060140124.52,83240525,0.177430343551393,349380,1.58724606055591,3.81
Greece,GRC,2020,YR2020,189410106620.016,10715549,-0.0562855184238398,128900,-1.45957899600209,16.3
Georgia,GEO,2020,YR2020,15891688903.1843,3714000,-0.165748398790001,69490,6.89850393099201,18.5
Iceland,ISL,2020,YR2020,21714670569.6033,366425,1.61271631750822,100830,3.44617707484487,5.48
Italy,ITA,2020,YR2020,1886445268340.71,59554023,-0.293517052809649,297730,1.19667096259563,9.16
Latvia,LVA,2020,YR2020,33505185228.7067,1901548,-0.643399845442153,62090,0.0526104526324929,8.1
Poland,POL,2020,YR2020,594164690894.936,37950802,-0.0386557422532846,306170,4.09532326003435,3.16
Portugal,PRT,2020,YR2020,231255587276.741,10305564,0.187462779794563,91605.6,2.37590937308111,6.79
Sweden,SWE,2020,YR2020,537609865719.019,10353442,0.722703912882934,407310,1.39423949406121,8.29
Spain,ESP,2020,YR2020,1281199091016.35,47351567,0.461546666660309,499603.479,1.06736605536011,15.53
Turkey,TUR,2020,YR2020,720101212394.114,84339067,1.08419395235039,769630,14.8274671614589,13.11
Ukraine,UKR,2020,YR2020,155582008717.426,44134693,-0.568251538691365,579400,9.83764118271876,..
United Kingdom,GBR,2020,YR2020,2707743777173.91,67215293,0.565404594994568,241930,5.56709586266221,..
Slovenia,SVN,2020,YR2020,52880473699.8803,2100126,0.560630293306558,20136.4,1.27269766297013,4.97
Moldova,MDA,2020,YR2020,11914040905.2626,2617820,-1.72056466408314,32885.3,5.44754448120683,3.82
Monaco,MCO,2020,YR2020,..,39244,0.708343220788784,2.027,..,..
Luxembourg,LUX,2020,YR2020,73263982103.0119,632275,1.96033351479549,2430,2.33056203701922,6.77
Norway,NOR,2020,YR2020,362008956544.827,5379475,0.588757324043059,365107.85,-3.74619106894976,4.42
Netherlands,NLD,2020,YR2020,912242335119.069,17441139,0.55347099272609,33670,2.40289868209163,3.82
Hungary,HUN,2020,YR2020,155012927629.087,9749763,-0.219026829355275,91260,5.70120233164475,4.25
Armenia,ARM,2020,YR2020,12645459213.5235,2963234,0.185983344838062,28470,1.87745778397905,..
Albania,ALB,2020,YR2020,14799615097.1008,2837743,-0.577942252408581,27400,-0.964778964039652,..
Finland,FIN,2020,YR2020,271233883403.892,5530719,0.164906516324292,303920,1.65662238769804,7.76
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,
Last Updated: 09/15/2021,,,,,,,,,
